bin_count,dataset,seed,AUC,AUPRC,F1,Precision,Recall,Runtime,labels_consumed_during_fit
16,Porto-derived,456,0.9659402173913043,0.8385074985239162,0.7644927536231884,0.7644927536231884,0.7644927536231884,1.7836852999753319,False
16,Porto-derived,789,0.9645369565217392,0.7866467581413659,0.7028985507246377,0.7028985507246377,0.7028985507246377,2.9137937999912538,False
16,Porto-derived,1024,0.959644927536232,0.7631611908396622,0.6721014492753623,0.6721014492753623,0.6721014492753623,2.5220762999961153,False
16,Synthetic,42,0.8871684782608695,0.6591283578113605,0.6884057971014492,0.6884057971014492,0.6884057971014492,5.6467124999908265,False
16,Synthetic,123,0.889586231884058,0.6420903063370496,0.6340579710144928,0.6340579710144928,0.6340579710144928,7.703480900003342,False
16,Synthetic,456,0.8451583333333335,0.5614921831123997,0.5543478260869565,0.5543478260869565,0.5543478260869565,5.525459299999056,False
16,Synthetic,789,0.8476902173913045,0.5805708148011315,0.5670289855072463,0.5670289855072463,0.5670289855072463,3.5959907000069506,False
16,Synthetic,1024,0.8354547101449276,0.53634215951931,0.5362318840579711,0.5362318840579711,0.5362318840579711,3.5389115999860223,False
16,Synthetic,2048,0.9071282608695653,0.7185136712828846,0.7028985507246377,0.7028985507246377,0.7028985507246377,5.869539000006625,False
16,Synthetic,3072,0.8567971014492755,0.5666192289001422,0.5579710144927537,0.5579710144927537,0.5579710144927537,3.737109600013355,False
16,Synthetic,4096,0.8599528985507247,0.5783869605057591,0.5543478260869565,0.5543478260869565,0.5543478260869565,2.6810681000060868,False
16,Synthetic,5120,0.9134634057971015,0.791632433417299,0.7554347826086957,0.7554347826086957,0.7554347826086957,3.4029820999712683,False
16,Synthetic,6144,0.8679659420289856,0.5632627678750692,0.5471014492753623,0.5471014492753623,0.5471014492753623,3.9871572999982163,False
32,GeoLife,42,0.8078433734939758,0.48148970848748757,0.48493975903614456,0.48493975903614456,0.48493975903614456,0.8373266000126023,False
32,GeoLife,123,0.8304879518072289,0.5715400884590626,0.5421686746987951,0.5421686746987951,0.5421686746987951,1.1800709000090137,False
32,GeoLife,456,0.7931335341365462,0.39950515655696767,0.3825301204819277,0.3825301204819277,0.3825301204819277,0.6531688999966718,False
32,GeoLife,789,0.8348995983935743,0.5664775026618479,0.5512048192771084,0.5512048192771084,0.5512048192771084,1.1793364000041038,False
32,GeoLife,1024,0.8402369477911648,0.5253236145056597,0.48493975903614456,0.48493975903614456,0.48493975903614456,0.9223877000040375,False
32,Grid-Network,42,0.937286956521739,0.7894386339440241,0.7355072463768116,0.7355072463768116,0.7355072463768116,2.382382800016785,False
32,Grid-Network,123,0.8882858695652174,0.6932748710487209,0.6394927536231884,0.6394927536231884,0.6394927536231884,2.8074494000175036,False
