analysis,variant,dataset,seed,AUC,AUPRC,F1,Precision,Recall,Runtime
component,g0_l1_f1,Porto-derived,123,0.9760068840579711,0.8375948778030491,0.7644927536231884,0.7644927536231884,0.7644927536231884,4.65272620000178
component,g1_l0_f0,Porto-derived,123,0.9582902173913044,0.8077649617864772,0.7355072463768116,0.7355072463768116,0.7355072463768116,7.964037100027781
component,g1_l0_f1,Porto-derived,123,0.9732242753623188,0.8204626372843726,0.7518115942028986,0.7518115942028986,0.7518115942028986,7.727732200000901
component,g1_l1_f0,Porto-derived,123,0.9656644927536231,0.8324541100301329,0.7644927536231884,0.7644927536231884,0.7644927536231884,5.219166099966969
component,g1_l1_f1,Porto-derived,123,0.9739786231884059,0.8217528613683114,0.7626811594202898,0.7626811594202898,0.7626811594202898,7.640176700020675
component,g0_l0_f0,Porto-derived,456,0.9662398550724638,0.8156979587801377,0.7590579710144928,0.7590579710144928,0.7590579710144928,4.5049659999785945
component,g0_l0_f1,Porto-derived,456,0.9706025362318841,0.8465662648166561,0.7481884057971014,0.7481884057971014,0.7481884057971014,4.901678099995479
component,g0_l1_f0,Porto-derived,456,0.9754873188405796,0.8513588932548546,0.7916666666666666,0.7916666666666666,0.7916666666666666,4.91016780002974
component,g0_l1_f1,Porto-derived,456,0.9730079710144927,0.8725730521027234,0.7862318840579711,0.7862318840579711,0.7862318840579711,5.024468899995554
component,g1_l0_f0,Porto-derived,456,0.9469605072463767,0.7817525297641155,0.7083333333333334,0.7083333333333334,0.7083333333333334,3.1990819000056945
component,g1_l0_f1,Porto-derived,456,0.9642452898550725,0.8235242519415056,0.7355072463768116,0.7355072463768116,0.7355072463768116,3.9019738999777474
component,g1_l1_f0,Porto-derived,456,0.951584420289855,0.8073123829722334,0.7192028985507246,0.7192028985507246,0.7192028985507246,3.9424494999693707
component,g1_l1_f1,Porto-derived,456,0.9688112318840579,0.8509767550187399,0.7644927536231884,0.7644927536231884,0.7644927536231884,4.077923999982886
component,g0_l0_f0,Porto-derived,789,0.950376811594203,0.78137696453356,0.7065217391304348,0.7065217391304348,0.7065217391304348,4.965940799971577
component,g0_l0_f1,Porto-derived,789,0.9569210144927537,0.7580877639313109,0.6884057971014492,0.6884057971014492,0.6884057971014492,4.863714200037066
