dataset,method,seed,n_samples,end_to_end_seconds,fit_score_seconds,timing_scope,epochs,pretrain_epochs,parameter_count,peak_gpu_memory_bytes,device
Synthetic,MST-OATD,42,5552,35.34606800787151,34.42933382187039,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,123,5552,35.318585771135986,34.69280700571835,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,456,5552,35.98091440927237,35.33552374318242,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,789,5552,35.362936324905604,34.72499496024102,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,1024,5552,35.25790795404464,34.62580374395475,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,2048,5552,34.729735914152116,33.935072641819715,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,3072,5552,35.24570897500962,34.370679383631796,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,4096,5552,35.09011842869222,34.31960800103843,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,5120,5552,35.06772951502353,34.32854525092989,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Synthetic,MST-OATD,6144,5552,34.58537631109357,33.85154938697815,adapter_fit_plus_score; pure training and scoring are not separated,10,8,11840659,6965044224,cuda:0
Grid-Network,EWGB-TAD,42,5552,5.581940399992163,,end_to_end_job,,,,,cpu
Grid-Network,EWGB-TAD,123,5552,5.707015000007232,,end_to_end_job,,,,,cpu
Grid-Network,EWGB-TAD,456,5552,5.337804299997515,,end_to_end_job,,,,,cpu
Grid-Network,EWGB-TAD,789,5552,5.824384599996847,,end_to_end_job,,,,,cpu
Grid-Network,EWGB-TAD,1024,5552,5.865609000000404,,end_to_end_job,,,,,cpu
Grid-Network,EWGB-TAD,2048,5552,7.958148700010497,,end_to_end_job,,,,,cpu
Grid-Network,EWGB-TAD,3072,5552,7.062451999998302,,end_to_end_job,,,,,cpu
Grid-Network,EWGB-TAD,4096,5552,6.2613535999989836,,end_to_end_job,,,,,cpu
Grid-Network,EWGB-TAD,5120,5552,6.831100900002639,,end_to_end_job,,,,,cpu
Grid-Network,EWGB-TAD,6144,5552,6.968147499996121,,end_to_end_job,,,,,cpu
Grid-Network,IForest,42,5552,1.086484698113054,,end_to_end_job,,,,,cpu
Grid-Network,IForest,123,5552,0.8039353950880468,,end_to_end_job,,,,,cpu
Grid-Network,IForest,456,5552,0.8266444951295853,,end_to_end_job,,,,,cpu
Grid-Network,IForest,789,5552,0.8219760088250041,,end_to_end_job,,,,,cpu
Grid-Network,IForest,1024,5552,0.8150433851405978,,end_to_end_job,,,,,cpu
Grid-Network,IForest,2048,5552,0.6390168373472989,,end_to_end_job,,,,,cpu
Grid-Network,IForest,3072,5552,1.059998129028827,,end_to_end_job,,,,,cpu
Grid-Network,IForest,4096,5552,0.7046361682005227,,end_to_end_job,,,,,cpu
Grid-Network,IForest,5120,5552,1.0252678832039237,,end_to_end_job,,,,,cpu
Grid-Network,IForest,6144,5552,0.8884278871119022,,end_to_end_job,,,,,cpu
Grid-Network,ECOD,42,5552,0.15897814789786935,,end_to_end_job,,,,,cpu
Grid-Network,ECOD,123,5552,0.12056213803589344,,end_to_end_job,,,,,cpu
Grid-Network,ECOD,456,5552,0.17810274427756667,,end_to_end_job,,,,,cpu
Grid-Network,ECOD,789,5552,0.10774251399561763,,end_to_end_job,,,,,cpu
Grid-Network,ECOD,1024,5552,0.12723201559856534,,end_to_end_job,,,,,cpu
Grid-Network,ECOD,2048,5552,0.1074832477606833,,end_to_end_job,,,,,cpu
Grid-Network,ECOD,3072,5552,0.17965422198176384,,end_to_end_job,,,,,cpu
Grid-Network,ECOD,4096,5552,0.12894170498475432,,end_to_end_job,,,,,cpu
Grid-Network,ECOD,5120,5552,0.09775495296344161,,end_to_end_job,,,,,cpu
Grid-Network,ECOD,6144,5552,0.11820293264463544,,end_to_end_job,,,,,cpu
Grid-Network,iBoost-ODE,42,5552,4.085540615953505,,end_to_end_job,,,,,cpu
Grid-Network,iBoost-ODE,123,5552,2.8762746918946505,,end_to_end_job,,,,,cpu
Grid-Network,iBoost-ODE,456,5552,2.846249822061509,,end_to_end_job,,,,,cpu
Grid-Network,iBoost-ODE,789,5552,2.8238305561244488,,end_to_end_job,,,,,cpu
Grid-Network,iBoost-ODE,1024,5552,3.088609913829714,,end_to_end_job,,,,,cpu
Grid-Network,iBoost-ODE,2048,5552,2.5822004228830338,,end_to_end_job,,,,,cpu
Grid-Network,iBoost-ODE,3072,5552,2.366652963217348,,end_to_end_job,,,,,cpu
Grid-Network,iBoost-ODE,4096,5552,3.972702892962843,,end_to_end_job,,,,,cpu
Grid-Network,iBoost-ODE,5120,5552,3.1579369585961103,,end_to_end_job,,,,,cpu
Grid-Network,iBoost-ODE,6144,5552,2.4786605979315937,,end_to_end_job,,,,,cpu
Grid-Network,CoMadOut,42,5552,0.30501166405156255,,end_to_end_job,,,,,cpu
Grid-Network,CoMadOut,123,5552,0.23777245078235865,,end_to_end_job,,,,,cpu
Grid-Network,CoMadOut,456,5552,0.28450089879333973,,end_to_end_job,,,,,cpu
Grid-Network,CoMadOut,789,5552,0.18775751488283277,,end_to_end_job,,,,,cpu
Grid-Network,CoMadOut,1024,5552,0.2251319861970842,,end_to_end_job,,,,,cpu
Grid-Network,CoMadOut,2048,5552,0.28369439765810966,,end_to_end_job,,,,,cpu
Grid-Network,CoMadOut,3072,5552,0.26134165097028017,,end_to_end_job,,,,,cpu
Grid-Network,CoMadOut,4096,5552,0.22409837413579226,,end_to_end_job,,,,,cpu
Grid-Network,CoMadOut,5120,5552,0.20267272973433137,,end_to_end_job,,,,,cpu
Grid-Network,CoMadOut,6144,5552,0.16708858497440815,,end_to_end_job,,,,,cpu
Grid-Network,Shape-KNN,42,5552,36.21809389209375,,end_to_end_job,,,,,cpu
Grid-Network,Shape-KNN,123,5552,44.995414797682315,,end_to_end_job,,,,,cpu
Grid-Network,Shape-KNN,456,5552,34.97899530362338,,end_to_end_job,,,,,cpu
Grid-Network,Shape-KNN,789,5552,14.317756267730147,,end_to_end_job,,,,,cpu
Grid-Network,Shape-KNN,1024,5552,23.345898542087525,,end_to_end_job,,,,,cpu
Grid-Network,Shape-KNN,2048,5552,26.786062660627067,,end_to_end_job,,,,,cpu
Grid-Network,Shape-KNN,3072,5552,17.53374911285937,,end_to_end_job,,,,,cpu
Grid-Network,Shape-KNN,4096,5552,26.63171163899824,,end_to_end_job,,,,,cpu
Grid-Network,Shape-KNN,5120,5552,13.587096901144832,,end_to_end_job,,,,,cpu
