dataset,seed,min_samples,view,n_balls,mean_ball_size,size_strata_available,size_stratum_cosine_mean,weighted_local_l1_from_run_profile
Grid-Network,1024,4,trajectory_shape,70,79.31428571428572,3,0.9643567321769817,0.6053788835429932
Grid-Network,1024,8,spatial_path,162,34.27160493827161,3,0.9772389271192575,0.5076964247115151
Grid-Network,1024,8,kinematic,175,31.725714285714286,3,0.9974297990534352,0.35377456710571614
Grid-Network,1024,8,trajectory_shape,54,102.81481481481481,3,0.8828024314292788,0.5864685418008029
Grid-Network,1024,16,spatial_path,113,49.13274336283186,3,0.9689088516948283,0.4782928765114729
Grid-Network,1024,16,kinematic,122,45.50819672131148,3,0.9771885781201585,0.36430110708797964
Grid-Network,1024,16,trajectory_shape,44,126.18181818181819,3,0.8703278212624189,0.5738818902514026
Grid-Network,1024,32,spatial_path,66,84.12121212121212,3,0.9249202564970176,0.4522121762788903
Grid-Network,1024,32,kinematic,64,86.75,3,0.9496621799116941,0.35107861822922637
Grid-Network,1024,32,trajectory_shape,40,138.8,2,0.9683015217280501,0.560797443429647
Grid-Network,2048,4,spatial_path,154,36.05194805194805,3,0.9654979335827196,0.5225773651745939
Grid-Network,2048,4,kinematic,193,28.76683937823834,3,0.9863627177855947,0.3703916773474719
Grid-Network,2048,4,trajectory_shape,72,77.11111111111111,3,0.9358543716083784,0.5644516938559189
Grid-Network,2048,8,spatial_path,139,39.94244604316547,3,0.9853385114309798,0.5263751036791494
Grid-Network,2048,8,kinematic,175,31.725714285714286,3,0.9970571129796085,0.3792828764488861
Grid-Network,2048,8,trajectory_shape,45,123.37777777777778,3,0.9603780318091465,0.5072457627941557
Grid-Network,2048,16,spatial_path,105,52.87619047619047,3,0.9542901466116209,0.5032702504095267
Grid-Network,2048,16,kinematic,111,50.01801801801802,3,0.9788462814948827,0.39056486987689193
Grid-Network,2048,16,trajectory_shape,35,158.62857142857143,3,0.9129485704618663,0.48472593360651306
Grid-Network,2048,32,spatial_path,62,89.54838709677419,3,0.8724191386294823,0.4673646586435475
Grid-Network,2048,32,kinematic,59,94.10169491525424,3,0.9822483379654061,0.3648762156423836
Grid-Network,2048,32,trajectory_shape,30,185.06666666666666,3,0.9242060658983527,0.516020866081282
Grid-Network,3072,4,spatial_path,193,28.76683937823834,3,0.9176591695066119,0.5274302393740214
Grid-Network,3072,4,kinematic,188,29.53191489361702,3,0.9941109661129897,0.38005515542612317
Grid-Network,3072,4,trajectory_shape,82,67.70731707317073,3,0.8414356742197932,0.6154704517047734
Grid-Network,3072,8,spatial_path,149,37.261744966442954,3,0.9454953702544096,0.5035209099534319
Grid-Network,3072,8,kinematic,153,36.287581699346404,3,0.9950559295133617,0.4074953479848275
Grid-Network,3072,8,trajectory_shape,44,126.18181818181819,3,0.897500574972829,0.5457979137432544
Grid-Network,3072,16,spatial_path,119,46.65546218487395,3,0.9715035036402804,0.4960213152354026
Grid-Network,3072,16,kinematic,118,47.05084745762712,3,0.9669137526882209,0.4056111060323117
Grid-Network,3072,16,trajectory_shape,33,168.24242424242425,2,0.9058586203291797,0.5084258983280089
Grid-Network,3072,32,spatial_path,60,92.53333333333333,3,0.9780538812346954,0.42879255692710844
Grid-Network,3072,32,kinematic,55,100.94545454545455,3,0.9857225169284761,0.36602004483479217
Grid-Network,3072,32,trajectory_shape,33,168.24242424242425,3,0.9243646046314012,0.5084258983280089
Grid-Network,4096,4,spatial_path,193,28.76683937823834,3,0.9550354698434292,0.5159490112288916
Grid-Network,4096,4,kinematic,187,29.689839572192515,3,0.9955226103909802,0.3603556134072343
Grid-Network,4096,4,trajectory_shape,61,91.01639344262296,3,0.8613651184098708,0.5386762826137638
Grid-Network,4096,8,spatial_path,157,35.36305732484077,3,0.9825702735105662,0.4965064258662855
Grid-Network,4096,8,kinematic,168,33.04761904761905,3,0.994923138544447,0.3686392869665021
Grid-Network,4096,8,trajectory_shape,44,126.18181818181819,3,0.8305993461262425,0.5102742884206256
Grid-Network,4096,16,spatial_path,111,50.01801801801802,3,0.9755803489135514,0.4757646510051872
Grid-Network,4096,16,kinematic,117,47.452991452991455,3,0.9874700698577422,0.3698817048707092
Grid-Network,4096,16,trajectory_shape,42,132.1904761904762,3,0.7894836079267943,0.5017913524273715
Grid-Network,4096,32,spatial_path,56,99.14285714285714,3,0.9947657757271071,0.42292823375100164
Grid-Network,4096,32,kinematic,67,82.86567164179104,3,0.9816436064413753,0.3537271264217958
Grid-Network,4096,32,trajectory_shape,37,150.05405405405406,3,0.7025044456687527,0.49197691281614336
Grid-Network,5120,4,spatial_path,186,29.849462365591396,3,0.9411930286955673,0.5247643418999022
Grid-Network,5120,4,kinematic,189,29.375661375661377,3,0.9848704114980921,0.38065383642239703
Grid-Network,5120,4,trajectory_shape,88,63.09090909090909,3,0.893586982084564,0.5803631105134037
Grid-Network,5120,8,spatial_path,163,34.061349693251536,3,0.984452068147298,0.5163211212012483
Grid-Network,5120,8,kinematic,167,33.24550898203593,3,0.9937530964370862,0.38906678787036925
Grid-Network,5120,8,trajectory_shape,62,89.54838709677419,3,0.923859621697453,0.5129992397623896
Grid-Network,5120,16,spatial_path,111,50.01801801801802,3,0.984045792733292,0.4865092584682011
Grid-Network,5120,16,kinematic,112,49.57142857142857,3,0.9526892728437492,0.39266702262733
Grid-Network,5120,16,trajectory_shape,55,100.94545454545455,3,0.9149830177557018,0.5061804724891491
Grid-Network,5120,32,spatial_path,60,92.53333333333333,3,0.9866175861984937,0.44587546254257443
Grid-Network,5120,32,kinematic,61,91.01639344262296,3,0.9612027265407198,0.3745313499759558
Grid-Network,5120,32,trajectory_shape,46,120.69565217391305,3,0.9090002784915004,0.49489909239375135
Grid-Network,6144,4,spatial_path,170,32.65882352941176,3,0.9716659492384278,0.5348771305158725
Grid-Network,6144,4,kinematic,107,51.88785046728972,3,0.9796338558394652,0.2850024160589814
Grid-Network,6144,4,trajectory_shape,86,64.55813953488372,3,0.9112439001367396,0.6029364590431334
Grid-Network,6144,8,spatial_path,146,38.02739726027397,3,0.9948506312385975,0.5245660012615383
Grid-Network,6144,8,kinematic,91,61.010989010989015,3,0.9816108629630603,0.28348649037199625
Grid-Network,6144,8,trajectory_shape,53,104.75471698113208,3,0.8278925409981959,0.5944575396666839
Grid-Network,6144,16,spatial_path,99,56.08080808080808,3,0.9658532296954766,0.4947882111159221
Grid-Network,6144,16,kinematic,72,77.11111111111111,3,0.9864807346812045,0.27968911799706503
Grid-Network,6144,16,trajectory_shape,48,115.66666666666667,2,0.8431284627843348,0.591516584851116
Grid-Network,6144,32,spatial_path,57,97.40350877192982,3,0.9718161315820852,0.4339258651505914
Grid-Network,6144,32,kinematic,35,158.62857142857143,3,0.9889489073309609,0.2566525178741447
Grid-Network,6144,32,trajectory_shape,45,123.37777777777778,2,0.9438529364676158,0.59227321937366
Porto-derived,42,4,spatial_path,171,32.46783625730994,3,0.920467755313861,0.5822922037803647
Porto-derived,42,4,kinematic,197,28.18274111675127,3,0.9860919134799793,0.3442122408123039
Porto-derived,42,4,trajectory_shape,92,60.34782608695652,3,0.9026752229838743,0.48843836511514843
Porto-derived,42,8,spatial_path,1,5552.0,1,,3.469446951953614e-18
Porto-derived,42,8,kinematic,154,36.05194805194805,3,0.9871918929215532,0.3753512174971773
Porto-derived,42,8,trajectory_shape,57,97.40350877192982,3,0.9274712330199358,0.45649621243274136
Porto-derived,42,16,spatial_path,1,5552.0,1,,3.469446951953614e-18
Porto-derived,42,16,kinematic,115,48.278260869565216,3,0.974830912865194,0.3703806313943177
Porto-derived,42,16,trajectory_shape,7,793.1428571428571,3,0.8607493180845579,0.09291940257952482
Porto-derived,42,32,spatial_path,1,5552.0,1,,3.469446951953614e-18
Porto-derived,42,32,kinematic,57,97.40350877192982,3,0.9564861770718847,0.37148727291743117
Porto-derived,42,32,trajectory_shape,2,2776.0,1,,0.05011352780183395
Porto-derived,123,4,spatial_path,153,36.287581699346404,3,0.8608411339085741,0.5901222311168771
Porto-derived,123,4,kinematic,194,28.61855670103093,3,0.9696663060072899,0.315264660383044
Porto-derived,123,4,trajectory_shape,103,53.90291262135922,3,0.9271354396991572,0.469395826427808
Porto-derived,123,8,spatial_path,138,40.231884057971016,3,0.9825651023521486,0.586602445620573
Porto-derived,123,8,kinematic,176,31.545454545454547,3,0.9923079349436547,0.31629670206778665
Porto-derived,123,8,trajectory_shape,38,146.10526315789474,3,0.9460752087782099,0.40656318375010597
Porto-derived,123,16,spatial_path,110,50.472727272727276,3,0.9314036116630823,0.5781689266031647
Porto-derived,123,16,kinematic,117,47.452991452991455,3,0.9509418461316032,0.3597233709359701
Porto-derived,123,16,trajectory_shape,15,370.1333333333333,3,0.8402881001200151,0.41641354608809916
Porto-derived,123,32,spatial_path,60,92.53333333333333,3,0.9367934409724624,0.556876695884569
Porto-derived,123,32,kinematic,59,94.10169491525424,3,0.8947294807837537,0.36997245016289554
Porto-derived,123,32,trajectory_shape,1,5552.0,1,,0.0
Porto-derived,456,4,spatial_path,1,5552.0,1,,2.7755575615628914e-17
Porto-derived,456,4,kinematic,187,29.689839572192515,3,0.9842545675024184,0.3674406198185657
Porto-derived,456,4,trajectory_shape,103,53.90291262135922,3,0.887460354146398,0.5353856385222164
Porto-derived,456,8,spatial_path,1,5552.0,1,,2.7755575615628914e-17
Porto-derived,456,8,kinematic,159,34.918238993710695,3,0.9919462271878988,0.4086918361908597
Porto-derived,456,8,trajectory_shape,68,81.6470588235294,3,0.8789852351350752,0.47301480268950286
Porto-derived,456,16,spatial_path,1,5552.0,1,,2.7755575615628914e-17
Porto-derived,456,16,kinematic,113,49.13274336283186,3,0.9555827074504187,0.4008815431600634
Porto-derived,456,16,trajectory_shape,40,138.8,3,0.8868751078508251,0.42252111230508027
Porto-derived,456,32,spatial_path,1,5552.0,1,,2.7755575615628914e-17
Porto-derived,456,32,kinematic,52,106.76923076923077,3,0.9421311762799328,0.42138999059976673
Porto-derived,456,32,trajectory_shape,12,462.6666666666667,3,0.9079782821321337,0.216458872464415
Porto-derived,789,4,spatial_path,133,41.744360902255636,3,0.9485195020175397,0.5526851069021215
